,定期借家
812,1
813,1
814,1
815,1
816,1
817,1
818,1
819,1
820,1
821,1
822,3
823,1
824,1
825,1
826,1
827,1
828,1
829,1
830,1
831,1
832,1
833,1
834,1
835,1
836,1
837,1
838,3
839,1
840,1
841,1
842,3
843,1
844,1
845,3
846,1
847,3
848,3
849,1
850,1
851,3
852,3
853,1
854,3
855,3
856,1
857,1
858,1
859,1
860,3
861,3
862,1
863,3
864,1
865,1
866,1
867,1
868,1
869,3
870,3
871,1
872,3
873,1
874,1
875,3
876,1
877,3
878,1
879,1
880,3
881,1
882,1
883,2
884,2
885,1
886,1
887,1
888,3
889,1
890,1
891,3
892,1
893,1
894,3
895,3
896,1
897,1
898,1
899,1
900,2
901,3
902,3
903,3
904,3
905,1
906,1
907,3
908,1
909,1
910,1
911,1
912,3
913,3
914,1
915,1
916,1
917,1
918,3
919,1
920,1
921,3
922,1
923,1
924,1
925,3
926,3
927,3
928,1
929,1
930,1
931,1
932,1
933,2
934,1
935,3
936,1
937,1
938,1
939,1
940,3
941,1
942,1
943,1
944,1
945,1
946,1
947,1
948,2
949,3
950,1
951,2
952,1
953,1
954,2
955,1
956,1
957,1
958,1
959,1
960,1
961,3
962,1
963,3
964,1
965,3
966,1
967,1
968,1
969,1
970,1
971,1
972,1
973,3
974,1
975,1
976,3
977,1
978,3
979,2
980,1
981,1
982,1
983,1
984,1
985,1
986,1
987,1
988,1
989,1
990,1
991,3
992,1
993,3
994,1
995,1
996,1
997,1
998,1
999,3
1000,1
1001,1
1002,3
1003,1
1004,1
1005,2
1006,1
1007,1
1008,3
1009,1
1010,1
1011,1
1012,1
1013,3
1014,1
1015,1
1016,1
1017,1
1018,3
1019,2
1020,1
1021,1
1022,3
1023,2
1024,3
1025,1
1026,1
1027,1
1028,1
1029,1
1030,1
1031,1
1032,1
1033,1
1034,1
1035,1
1036,3
1037,1
1038,1
1039,3
1040,1
1041,1
1042,3
1043,3
1044,3
1045,1
1046,1
1047,1
1048,1
1049,1
1050,1
1051,1
1052,1
1053,1
1054,1
1055,2
1056,3
1057,2
1058,1
1059,3
1060,1
1061,1
1062,1
1063,1
1064,1
1065,3
1066,1
1067,1
1068,1
1069,1
1070,1
1071,1
1072,1
1073,3
1074,1
1075,1
1076,1
1077,1
1078,1
1079,1
1080,1
1081,1
1082,1
1083,1
1084,1
1085,1
1086,1
1087,1
1088,1
1089,1
1090,1
1091,1
1092,1
1093,3
1094,1
1095,1
1096,1
1097,1
1098,1
1099,1
1100,2
1101,1
1102,1
1103,1
1104,1
1105,1
1106,1
1107,3
1108,1
1109,1
1110,1
1111,1
1112,2
1113,1
1114,1
1115,3
1116,1
1117,1
1118,1
1119,2
1120,3
1121,1
1122,1
1123,1
1124,1
1125,1
1126,1
1127,1
1128,1
1129,3
1130,1
1131,3
1132,1
1133,1
1134,1
1135,1
1136,3
1137,1
1138,1
1139,1
1140,1
1141,1
1142,1
1143,3
1144,1
1145,1
1146,1
1147,3
1148,1
1149,3
1150,1
1151,3
1152,1
1153,1
1154,1
1155,1
1156,1
1157,3
1158,1
1159,3
1160,1
1161,3
1162,1
1163,1
1164,3
1165,1
1166,3
1167,1
1168,3
1169,1
1170,1
1171,1
1172,1
1173,1
1174,1
1175,1
1176,1
1177,1
1178,3
1179,1
1180,1
1181,1
1182,1
1183,1
1184,3
1185,3
1186,3
1187,1
1188,1
1189,1
1190,3
1191,3
1192,1
1193,1
1194,1
1195,3
1196,1
1197,2
1198,1
1199,1
1200,1
1201,3
1202,1
1203,1
1204,1
1205,1
1206,1
1207,2
1208,1
1209,3
1210,1
1211,3
1212,3
1213,1
1214,1
1215,1
1216,3
1217,2
1218,1
1219,1
1220,1
1221,1
1222,3
1223,3
1224,1
1225,1
1226,1
1227,1
1228,1
1229,2
1230,1
1231,1
1232,1
1233,1
1234,1
1235,1
1236,3
1237,1
1238,1
1239,2
1240,1
1241,1
1242,1
1243,1
1244,3
1245,1
1246,3
1247,1
1248,3
1249,3
1250,2
1251,2
1252,1
1253,1
1254,3
1255,1
1256,1
1257,1
1258,1
1259,1
1260,1
1261,1
1262,3
1263,1
1264,1
1265,1
1266,1
1267,1
1268,3
1269,1
1270,1
1271,1
1272,1
1273,1
1274,1
1275,1
1276,1
1277,1
1278,1
1279,1
1280,1
1281,3
1282,1
1283,2
1284,1
1285,1
1286,1
1287,3
1288,3
1289,1
1290,1
1291,1
1292,1
1293,1
1294,1
1295,1
1296,1
1297,1
1298,1
1299,1
1300,1
1301,1
1302,3
1303,1
1304,3
1305,3
1306,1
1307,3
1308,3
1309,1
1310,1
1311,1
1312,1
1313,1
1314,3
1315,1
1316,1
1317,1
1318,1
1319,1
1320,3
1321,1
1322,2
1323,3
1324,3
1325,1
1326,1
1327,1
1328,2
1329,3
1330,3
1331,1
1332,1
1333,1
1334,1
1335,3
1336,1
1337,1
1338,3
1339,1
1340,1
1341,1
1342,3
1343,1
1344,1
1345,1
1346,1
1347,1
1348,3
1349,1
1350,1
1351,1
1352,1
1353,3
1354,1
1355,1
1356,1
1357,1
1358,1
1359,3
1360,1
1361,3
1362,1
1363,3
1364,1
1365,3
1366,1
1367,1
1368,3
1369,3
1370,1
1371,1
1372,3
1373,1
1374,1
1375,3
1376,1
1377,1
1378,1
1379,1
1380,3
1381,1
1382,2
1383,1
1384,1
1385,1
1386,1
1387,1
1388,3
1389,3
1390,1
1391,1
1392,1
1393,1
1394,1
1395,1
1396,1
1397,1
1398,1
1399,1
1400,1
1401,1
1402,3
1403,1
1404,1
1405,1
1406,1
1407,3
1408,1
1409,1
1410,1
1411,1
1412,1
1413,1
1414,1
1415,1
1416,1
1417,2
1418,1
1419,1
1420,3
1421,1
1422,1
1423,2
1424,1
1425,1
1426,1
1427,1
1428,1
1429,1
1430,3
1431,1
1432,1
1433,3
1434,2
1435,1
1436,3
1437,3
1438,2
1439,1
1440,1
1441,1
1442,1
1443,3
1444,1
1445,1
1446,1
1447,1
1448,1
1449,1
1450,1
1451,1
1452,1
1453,1
1454,3
1455,1
1456,3
1457,3
1458,1
1459,3
1460,1
1461,1
1462,3
1463,1
1464,1
1465,1
1466,3
1467,3
1468,1
1469,1
1470,1
1471,3
1472,1
1473,3
1474,1
1475,2
1476,1
1477,2
1478,1
1479,3
1480,1
1481,1
1482,1
1483,1
1484,3
1485,1
1486,3
1487,1
1488,1
1489,1
1490,1
1491,1
1492,1
1493,3
1494,3
1495,1
1496,1
1497,1
1498,1
1499,1
1500,1
1501,2
1502,3
1503,1
1504,1
1505,1
1506,1
1507,1
1508,3
1509,1
1510,1
1511,1
1512,1
1513,1
1514,1
1515,1
1516,1
1517,1
1518,1
1519,1
1520,1
1521,3
1522,1
1523,1
1524,1
1525,1
1526,1
1527,1
1528,1
1529,1
1530,1
1531,1
1532,1
1533,3
1534,3
1535,1
1536,1
1537,1
1538,3
1539,1
1540,1
1541,1
1542,1
1543,1
1544,1
1545,1
1546,1
1547,3
1548,1
1549,1
1550,1
1551,1
1552,1
1553,3
1554,3
1555,1
1556,1
1557,1
1558,3
1559,3
1560,1
1561,1
1562,1
1563,1
1564,1
1565,3
1566,3
1567,3
1568,1
1569,1
1570,3
1571,3
1572,1
1573,1
1574,1
1575,1
1576,1
1577,1
1578,1
1579,1
1580,1
1581,3
1582,3
1583,1
1584,3
1585,1
1586,1
1587,1
1588,1
1589,1
1590,3
1591,3
1592,1
1593,1
1594,1
1595,2
1596,2
1597,3
1598,3
1599,3
1600,1
1601,1
1602,1
1603,3
1604,3
1605,1
1606,1
1607,1
1608,1
1609,1
1610,1
1611,1
1612,1
1613,3
1614,1
1615,3
1616,1
1617,1
1618,3
1619,1
1620,1
1621,1
1622,1
1623,3
1624,1
1625,1
1626,1
1627,1
1628,1
1629,1
1630,1
1631,1
1632,1
1633,1
1634,1
1635,1
1636,2
1637,1
1638,1
1639,1
1640,1
1641,1
1642,1
1643,1
1644,1
1645,1
1646,1
1647,1
1648,1
1649,2
1650,1
1651,1
1652,1
1653,1
1654,1
1655,1
1656,3
1657,1
1658,1
1659,3
1660,1
1661,1
1662,1
1663,1
1664,3
1665,1
1666,1
1667,1
1668,1
1669,1
1670,3
1671,1
1672,1
1673,3
1674,2
1675,1
1676,1
1677,1
1678,1
1679,1
1680,1
1681,3
1682,1
1683,1
1684,3
1685,1
1686,3
1687,1
1688,1
1689,1
1690,1
1691,1
1692,3
1693,3
1694,3
1695,1
1696,1
1697,1
1698,1
1699,1
1700,1
1701,1
1702,1
1703,3
1704,3
1705,1
1706,1
1707,3
1708,1
1709,1
1710,3
1711,2
1712,1
1713,1
1714,3
1715,1
1716,1
1717,3
1718,1
1719,1
1720,3
1721,1
1722,1
1723,3
1724,1
1725,1
1726,1
1727,1
1728,3
1729,3
1730,1
1731,1
1732,3
1733,1
1734,2
1735,1
1736,1
1737,1
1738,1
1739,3
1740,3
1741,3
1742,1
1743,1
1744,1
1745,1
1746,1
1747,1
1748,3
1749,3
1750,1
1751,2
1752,1
1753,1
1754,1
1755,1
1756,1
1757,3
1758,1
1759,1
1760,3
1761,1
1762,1
1763,3
1764,1
1765,3
1766,1
1767,3
1768,2
1769,1
1770,1
1771,2
1772,1
1773,1
1774,1
1775,3
1776,1
1777,1
1778,1
1779,1
1780,1
1781,3
1782,3
1783,1
1784,1
1785,3
1786,1
1787,1
1788,1
1789,3
1790,1
1791,1
1792,1
1793,1
1794,1
1795,1
1796,1
1797,1
1798,2
1799,1
1800,1
1801,1
1802,1
1803,1
1804,1
1805,1
1806,1
1807,1
1808,1
1809,1
1810,1
1811,3
1812,1
1813,1
1814,3
1815,1
1816,3
1817,1
1818,1
1819,1
1820,3
1821,3
1822,1
1823,3
1824,1
1825,1
1826,1
1827,3
1828,1
1829,1
1830,1
1831,1
1832,1
1833,1
1834,1
1835,1
1836,1
1837,3
1838,1
1839,1
1840,3
1841,1
1842,1
1843,3
1844,1
1845,1
1846,3
1847,2
1848,1
1849,3
1850,2
1851,1
1852,1
1853,1
1854,3
1855,1
1856,1
1857,1
1858,1
1859,1
1860,1
1861,1
1862,1
1863,1
1864,1
1865,1
1866,2
1867,2
1868,1
1869,1
1870,1
1871,1
1872,1
1873,1
1874,1
1875,1
1876,2
1877,3
1878,1
1879,1
1880,1
1881,1
1882,3
1883,3
1884,3
1885,3
1886,1
1887,1
1888,3
1889,1
1890,1
1891,1
1892,1
1893,3
1894,1
1895,1
1896,1
1897,1
1898,1
1899,1
1900,1
1901,3
1902,1
1903,1
1904,1
1905,3
1906,1
1907,1
1908,1
1909,1
1910,1
1911,1
1912,1
1913,1
1914,1
1915,1
1916,3
1917,1
1918,1
1919,1
1920,3
1921,1
1922,3
1923,1
1924,3
1925,1
1926,1
1927,3
1928,3
1929,1
1930,1
1931,3
1932,1
1933,3
1934,1
1935,1
1936,1
1937,1
1938,1
1939,1
1940,1
1941,1
1942,1
1943,1
1944,1
1945,1
1946,1
1947,2
1948,1
1949,1
1950,1
1951,1
1952,3
1953,3
1954,1
1955,1
1956,1
1957,1
1958,3
1959,1
1960,1
1961,1
1962,2
1963,1
1964,3
1965,2
1966,1
1967,1
1968,1
1969,1
1970,3
1971,1
1972,1
1973,1
1974,1
1975,1
1976,1
1977,1
1978,1
1979,3
1980,3
1981,3
1982,1
1983,1
1984,1
1985,1
1986,3
1987,1
1988,1
1989,1
1990,3
1991,3
1992,1
1993,1
1994,1
1995,1
1996,1
1997,2
1998,3
1999,1
2000,1
2001,1
2002,3
2003,1
2004,1
2005,3
2006,1
2007,1
2008,2
2009,1
2010,1
2011,1
2012,3
2013,1
2014,1
2015,3
2016,1
2017,3
2018,1
2019,3
2020,1
2021,1
2022,1
2023,3
2024,1
2025,1
2026,1
2027,1
2028,1
2029,3
2030,3
2031,1
2032,1
2033,3
2034,1
2035,1
2036,3
2037,1
2038,1
2039,3
2040,1
2041,1
2042,1
2043,1
2044,1
2045,3
2046,1
2047,1
2048,1
2049,1
2050,1
2051,1
2052,1
2053,1
2054,1
2055,1
2056,1
2057,3
2058,1
2059,1
2060,1
2061,1
2062,1
2063,3
2064,1
2065,3
2066,3
2067,1
2068,3
2069,1
2070,1
2071,1
2072,2
2073,3
2074,1
2075,2
2076,1
2077,3
2078,3
2079,1
2080,1
2081,1
2082,1
2083,1
2084,1
2085,3
2086,1
2087,1
2088,1
2089,1
2090,1
2091,1
2092,1
2093,1
2094,1
2095,1
2096,1
2097,3
2098,1
2099,1
2100,1
2101,1
2102,1
2103,1
2104,3
2105,3
2106,3
2107,1
2108,1
2109,1
2110,1
2111,1
2112,1
2113,2
2114,1
2115,1
2116,3
2117,1
2118,3
2119,3
2120,1
2121,1
2122,1
2123,1
2124,1
2125,2
2126,1
2127,1
2128,1
2129,1
2130,3
2131,1
2132,3
2133,1
2134,2
2135,1
2136,1
2137,1
2138,2
2139,3
2140,3
2141,1
2142,3
2143,3
2144,3
2145,1
2146,1
2147,1
2148,1
2149,1
2150,3
2151,1
2152,3
2153,3
2154,1
2155,1
2156,2
2157,3
2158,1
2159,1
2160,3
2161,3
2162,1
2163,1
2164,1
2165,1
2166,1
2167,3
2168,1
2169,1
2170,1
2171,1
2172,2
2173,1
2174,1
2175,1
2176,1
2177,1
2178,1
2179,1
2180,1
2181,1
2182,1
2183,1
2184,1
2185,3
2186,1
2187,1
2188,1
2189,1
2190,1
2191,1
2192,1
2193,1
2194,1
2195,3
2196,3
2197,1
2198,1
2199,1
2200,1
2201,1
2202,1
2203,2
2204,1
2205,1
2206,3
2207,3
2208,2
2209,1
2210,1
2211,1
2212,1
2213,1
2214,3
2215,1
2216,1
2217,1
2218,1
2219,3
2220,1
2221,3
2222,3
2223,1
2224,1
2225,1
2226,3
2227,1
2228,1
2229,2
2230,1
2231,3
2232,1
2233,1
2234,1
2235,1
2236,1
2237,1
2238,3
2239,1
2240,3
2241,3
2242,1
2243,1
2244,1
2245,1
2246,3
2247,1
2248,1
2249,1
2250,1
2251,1
2252,3
2253,1
2254,2
2255,1
2256,1
2257,3
2258,1
2259,3
2260,1
2261,3
2262,1
2263,3
2264,1
2265,1
2266,2
2267,1
2268,1
2269,1
2270,1
2271,1
2272,1
2273,3
2274,1
2275,3
2276,1
2277,1
2278,1
2279,1
2280,1
2281,1
2282,1
2283,1
2284,1
2285,1
2286,1
2287,1
2288,1
2289,1
2290,1
2291,1
2292,1
2293,1
2294,3
2295,3
2296,3
2297,1
2298,3
2299,2
2300,1
2301,1
2302,1
2303,1
2304,1
2305,1
2306,1
2307,1
2308,1
2309,1
2310,1
2311,3
2312,1
2313,1
2314,1
2315,1
2316,1
2317,1
2318,1
2319,1
2320,1
2321,1
2322,3
2323,1
2324,1
2325,3
2326,1
2327,3
2328,1
2329,3
2330,1
2331,1
2332,1
2333,1
2334,1
2335,1
2336,1
2337,3
2338,1
2339,3
2340,3
2341,1
2342,1
2343,1
2344,1
2345,1
2346,1
2347,1
2348,1
2349,1
2350,1
2351,2
2352,1
2353,1
2354,1
2355,1
2356,1
2357,1
2358,1
2359,1
2360,1
2361,3
2362,1
2363,1
2364,2
2365,3
2366,1
2367,1
2368,1
2369,1
2370,3
2371,1
2372,1
2373,3
2374,1
2375,2
2376,1
2377,3
2378,1
2379,1
2380,1
2381,1
2382,3
2383,1
2384,1
2385,2
2386,3
2387,3
2388,3
2389,3
2390,1
2391,1
2392,3
2393,1
2394,1
2395,1
2396,1
2397,1
2398,1
2399,1
2400,1
2401,1
2402,1
2403,1
2404,2
2405,1
2406,3
2407,1
2408,1
2409,1
2410,3
2411,1
2412,3
2413,1
2414,3
2415,1
2416,1
2417,3
2418,1
2419,1
2420,1
2421,1
2422,3
2423,3
2424,1
2425,1
2426,2
2427,1
2428,2
2429,1
2430,1
2431,1
2432,3
2433,1
2434,3
2435,1
2436,1
2437,1
2438,1
2439,1
2440,1
2441,1
2442,1
2443,2
2444,1
2445,3
2446,3
2447,2
2448,1
2449,2
2450,1
2451,2
2452,1
2453,1
2454,1
2455,3
2456,1
2457,3
2458,1
2459,1
2460,1
2461,2
2462,2
2463,1
2464,1
2465,1
2466,1
2467,1
2468,1
2469,1
2470,1
2471,1
2472,1
2473,1
2474,1
2475,1
2476,1
2477,1
2478,1
2479,1
2480,1
2481,1
2482,2
2483,1
2484,1
2485,3
2486,1
2487,1
2488,3
2489,1
2490,3
2491,3
2492,2
2493,1
2494,1
2495,1
2496,1
2497,1
2498,1
2499,3
2500,1
2501,1
2502,1
2503,3
2504,1
2505,1
2506,1
2507,3
2508,1
2509,1
2510,3
2511,3
2512,1
2513,2
2514,1
2515,1
2516,1
2517,1
2518,2
2519,1
2520,1
2521,1
2522,1
2523,1
2524,1
2525,2
2526,1
2527,1
2528,1
2529,3
2530,1
2531,3
2532,1
2533,3
2534,1
2535,1
2536,1
2537,3
2538,3
2539,1
2540,1
2541,1
2542,1
2543,1
2544,1
2545,1
2546,1
2547,3
2548,1
2549,1
2550,1
2551,1
2552,1
2553,1
2554,1
2555,1
2556,1
2557,1
2558,1
2559,1
2560,1
2561,1
2562,1
2563,2
2564,1
2565,1
2566,3
2567,1
2568,1
2569,1
2570,3
2571,1
2572,1
2573,1
2574,1
2575,1
2576,1
2577,1
2578,3
2579,1
2580,1
2581,1
2582,1
2583,1
2584,3
2585,1
2586,1
2587,3
2588,1
2589,1
2590,1
2591,1
2592,2
2593,1
2594,1
2595,1
2596,1
2597,1
2598,1
2599,2
2600,1
2601,3
2602,1
2603,1
2604,1
2605,1
2606,3
2607,1
2608,1
2609,3
2610,1
2611,1
2612,1
2613,1
2614,1
2615,1
2616,3
2617,1
2618,3
2619,3
2620,1
2621,1
2622,3
2623,1
2624,1
2625,3
2626,1
2627,3
2628,1
2629,1
2630,1
2631,1
2632,1
2633,3
2634,1
2635,1
2636,3
2637,1
2638,1
2639,1
2640,1
2641,3
2642,1
2643,1
2644,1
2645,1
2646,1
2647,1
2648,1
2649,1
2650,1
2651,3
2652,1
2653,3
2654,1
2655,1
2656,1
2657,1
2658,1
2659,1
2660,3
2661,1
2662,3
2663,1
2664,2
2665,1
2666,1
2667,1
2668,3
2669,1
2670,1
2671,1
2672,1
2673,1
2674,1
2675,1
2676,1
2677,1
2678,1
2679,3
2680,1
2681,1
2682,2
2683,3
2684,1
2685,1
2686,1
2687,1
2688,1
2689,1
2690,1
2691,1
2692,3
2693,1
2694,1
2695,1
2696,1
2697,1
2698,3
2699,1
2700,1
2701,3
2702,1
2703,3
2704,1
2705,3
2706,1
2707,1
2708,1
2709,2
2710,1
2711,1
2712,1
2713,2
2714,1
2715,1
2716,1
2717,1
2718,1
2719,1
2720,1
2721,2
2722,1
2723,1
2724,2
2725,1
2726,1
2727,2
2728,1
2729,2
2730,1
2731,3
2732,1
2733,1
2734,1
2735,1
2736,1
2737,3
2738,1
2739,1
2740,1
2741,1
2742,3
2743,1
2744,1
2745,1
2746,1
2747,1
2748,3
2749,2
2750,1
2751,1
2752,1
2753,1
2754,1
2755,1
2756,3
2757,1
2758,3
2759,1
2760,1
2761,1
2762,1
2763,1
2764,1
2765,1
2766,1
2767,1
2768,1
2769,1
2770,1
2771,1
2772,1
2773,2
2774,1
2775,1
2776,1
2777,1
2778,1
2779,1
2780,1
2781,1
2782,1
2783,1
2784,1
2785,2
2786,1
2787,1
2788,2
2789,1
2790,1
2791,3
2792,1
2793,1
2794,3
2795,2
2796,1
2797,1
2798,1
2799,3
2800,1
2801,1
2802,2
2803,1
2804,3
2805,1
2806,1
2807,1
2808,1
2809,1
2810,1
2811,1
2812,1
2813,3
2814,1
2815,3
2816,1
2817,1
2818,2
2819,1
2820,1
2821,1
2822,1
2823,1
2824,1
2825,1
2826,1
2827,1
2828,1
2829,3
2830,1
2831,1
2832,1
2833,3
2834,1
2835,1
2836,1
2837,3
2838,1
2839,1
2840,3
2841,1
2842,1
2843,1
2844,1
2845,1
2846,3
2847,1
2848,1
2849,3
2850,1
2851,1
2852,1
2853,1
2854,1
2855,1
2856,1
2857,1
2858,1
2859,1
2860,1
2861,2
2862,1
2863,1
2864,3
2865,1
2866,1
2867,2
2868,3
2869,1
2870,3
2871,1
2872,1
2873,1
2874,3
2875,3
2876,2
2877,3
2878,3
2879,1
2880,1
2881,1
2882,1
2883,1
2884,1
2885,1
2886,3
2887,3
2888,2
2889,3
2890,1
2891,1
2892,3
2893,1
2894,1
2895,1
2896,3
2897,1
2898,1
2899,1
2900,1
2901,3
2902,3
2903,1
2904,1
2905,3
2906,1
2907,1
2908,1
2909,2
2910,3
2911,1
2912,1
2913,1
2914,3
2915,1
2916,1
2917,1
2918,1
2919,1
2920,1
2921,3
2922,3
2923,1
2924,1
2925,1
2926,1
2927,3
2928,1
2929,3
2930,1
2931,1
2932,3
2933,1
2934,1
2935,3
2936,1
2937,1
2938,1
2939,1
2940,2
2941,3
2942,3
2943,1
2944,1
2945,1
2946,3
2947,1
2948,1
2949,1
2950,3
2951,1
2952,3
2953,1
2954,1
2955,1
2956,1
2957,1
2958,1
2959,3
2960,3
2961,2
2962,1
2963,1
2964,1
2965,2
2966,1
2967,3
2968,3
2969,1
2970,1
2971,1
2972,1
2973,1
2974,1
2975,1
2976,1
2977,1
2978,1
2979,1
2980,3
2981,2
2982,1
2983,1
2984,1
2985,3
2986,2
2987,3
2988,2
2989,3
2990,1
2991,3
2992,1
2993,1
2994,3
2995,1
2996,1
