,平均地価
290,821285.7142857143
291,3151500.0
292,539666.6666666666
293,366000.0
294,1119800.0
295,879800.0
296,699000.0
297,973000.0
298,636600.0
299,370000.0
300,357000.0
301,710000.0
302,1181000.0
303,
304,868000.0
305,6949142.857142857
306,674000.0
307,
308,
309,302000.0
310,653400.0
311,654000.0
312,1232750.0
313,2180000.0
314,1843333.3333333333
315,448833.3333333333
316,1554000.0
317,2070000.0
318,622428.5714285715
319,327500.0
320,1580000.0
321,
322,633666.6666666666
323,1014000.0
324,552000.0
325,323600.0
326,1520000.0
327,2090000.0
328,506500.0
329,879800.0
330,349500.0
331,336000.0
332,323600.0
333,536000.0
334,1114800.0
335,624500.0
336,618000.0
337,303000.0
338,800000.0
339,605000.0
340,866166.6666666666
341,292250.0
342,296000.0
343,
344,1377666.6666666667
345,409000.0
346,302000.0
347,2631111.111111111
348,348666.6666666667
349,636600.0
350,781666.6666666666
351,3442222.222222222
352,
353,285750.0
354,405600.0
355,309333.3333333333
356,475333.3333333333
357,452000.0
358,507166.6666666667
359,570000.0
360,1338500.0
361,702166.6666666666
362,829000.0
363,1251333.3333333333
364,263000.0
365,555750.0
366,1185600.0
367,301250.0
368,273000.0
369,866166.6666666666
370,2213333.333333333
371,755714.2857142857
372,1580000.0
373,2500000.0
374,1580000.0
375,349500.0
376,
377,583750.0
378,1251333.3333333333
379,921333.3333333334
380,
381,528400.0
382,702166.6666666666
383,463666.6666666667
384,555750.0
385,602666.6666666666
386,552000.0
387,624500.0
388,626500.0
389,782000.0
390,547000.0
391,1758000.0
392,482000.0
393,702166.6666666666
394,680833.3333333334
395,787500.0
396,387000.0
397,702166.6666666666
398,538000.0
399,538000.0
400,452000.0
401,312000.0
402,689666.6666666666
403,698666.6666666666
404,480600.0
405,438000.0
406,341666.6666666667
407,226000.0
408,351000.0
409,714400.0
410,543333.3333333334
411,446750.0
412,341666.6666666667
413,
414,686571.4285714285
415,1026666.6666666666
416,821333.3333333334
417,442666.6666666667
418,
419,627000.0
420,534600.0
421,4202000.0
422,
423,543888.8888888889
424,1114800.0
425,387000.0
426,624000.0
427,492000.0
428,674000.0
429,391000.0
430,735600.0
431,420000.0
432,823000.0
433,357000.0
434,1014000.0
435,605000.0
436,2165000.0
437,523000.0
438,1187250.0
439,846500.0
440,687000.0
441,226000.0
442,292250.0
443,799000.0
444,370000.0
445,480600.0
446,977400.0
447,322400.0
448,1382666.6666666667
449,230500.0
450,1605000.0
451,2440000.0
452,928500.0
453,862500.0
454,1055000.0
455,1457166.6666666667
456,605500.0
457,507166.6666666667
458,1544500.0
459,677500.0
460,1119800.0
461,543600.0
462,755714.2857142857
463,
464,356000.0
465,592250.0
466,710000.0
467,2500000.0
468,644500.0
469,349500.0
470,1400000.0
471,1187250.0
472,274250.0
473,702166.6666666666
474,348666.6666666667
475,1773333.3333333333
476,1466222.2222222222
477,555666.6666666666
478,348500.0
479,1830285.7142857143
480,534600.0
481,1503000.0
482,867833.3333333334
483,686571.4285714285
484,389400.0
485,377666.6666666667
486,1382666.6666666667
487,
488,2213333.333333333
489,1420000.0
490,862500.0
491,866166.6666666666
492,301500.0
493,446750.0
494,409142.8571428572
495,416875.0
496,370000.0
497,576285.7142857143
498,275666.6666666667
499,636600.0
500,976200.0
501,821285.7142857143
502,448833.3333333333
503,416875.0
504,332000.0
505,429666.6666666667
506,486000.0
507,705250.0
508,782500.0
509,472200.0
510,587500.0
511,2070000.0
512,409142.8571428572
513,534600.0
514,377666.6666666667
515,1980000.0
516,653400.0
517,1175000.0
518,346250.0
519,4055142.857142857
520,1119800.0
521,823000.0
522,537000.0
523,860500.0
524,423000.0
525,445111.1111111111
526,828000.0
527,776571.4285714285
528,486000.0
529,607200.0
530,636600.0
531,571333.3333333334
532,1758000.0
533,339200.0
534,686571.4285714285
535,
536,763000.0
537,1953666.6666666667
538,714400.0
539,1338500.0
540,805000.0
541,921333.3333333334
542,472200.0
543,963000.0
544,442750.0
545,605000.0
546,758500.0
547,1220000.0
548,607200.0
549,253333.3333333333
550,879800.0
551,442857.1428571429
552,866166.6666666666
553,1291000.0
554,1173333.3333333333
555,364333.3333333333
556,2070000.0
557,686571.4285714285
558,854000.0
559,486500.0
560,529333.3333333334
561,492000.0
562,2198888.888888889
563,
564,475333.3333333333
565,
566,576666.6666666666
567,1014000.0
568,4055142.857142857
569,543333.3333333334
570,787500.0
571,1503000.0
572,395333.3333333333
573,2800000.0
574,504666.6666666667
575,1914000.0
576,487500.0
577,761666.6666666666
578,439250.0
579,332000.0
580,1187571.4285714286
581,497857.1428571429
582,450000.0
583,439250.0
584,689666.6666666666
585,364666.6666666667
586,928500.0
587,476500.0
588,543600.0
589,698875.0
590,538000.0
591,569000.0
592,653400.0
593,
594,497857.1428571429
595,640000.0
596,262000.0
597,364333.3333333333
598,271000.0
599,963000.0
600,552000.0
601,590000.0
602,414714.28571428574
603,749666.6666666666
604,309333.3333333333
605,550000.0
606,492000.0
607,486000.0
608,389400.0
609,486500.0
610,
611,977400.0
612,3392000.0
613,472200.0
614,702000.0
615,430500.0
616,1382666.6666666667
617,
618,1285000.0
619,583750.0
620,1187250.0
621,
622,392666.6666666667
623,3442222.222222222
624,
625,569000.0
626,504666.6666666667
627,309333.3333333333
628,677500.0
629,
630,1251333.3333333333
631,472200.0
632,780600.0
633,356333.3333333333
634,1291000.0
635,222000.0
636,658500.0
637,677500.0
638,453600.0
639,452000.0
640,821333.3333333334
641,595333.3333333334
642,1181000.0
643,511000.0
644,467000.0
645,1173333.3333333333
646,2440000.0
647,453600.0
648,1758000.0
649,1505000.0
650,267000.0
651,324500.0
652,685666.6666666666
653,
654,821333.3333333334
655,398000.0
656,927000.0
657,3751428.5714285714
658,351000.0
659,357500.0
660,698875.0
661,609000.0
662,795777.7777777778
663,
664,324750.0
665,764714.2857142857
666,1408000.0
667,1119800.0
668,381000.0
669,416000.0
670,476000.0
671,3751428.5714285714
672,611500.0
673,
674,452000.0
675,348000.0
676,311500.0
677,602666.6666666666
678,441000.0
679,357000.0
680,357500.0
681,519000.0
682,274250.0
683,1554000.0
684,1233333.3333333333
685,320333.3333333333
686,699000.0
687,1331333.3333333333
688,583750.0
689,634000.0
690,
691,605500.0
692,357000.0
693,567500.0
694,399000.0
695,1073666.6666666667
696,702166.6666666666
697,410000.0
698,2906666.6666666665
699,
700,3151500.0
701,1493333.3333333333
702,761666.6666666666
703,401333.3333333333
704,705250.0
705,1394000.0
706,524500.0
707,
708,1181000.0
709,571333.3333333334
710,601625.0
711,685666.6666666666
712,241500.0
713,431000.0
714,1110500.0
715,6949142.857142857
716,467000.0
717,527000.0
718,539000.0
719,
720,639000.0
721,611500.0
722,322400.0
723,879800.0
724,991000.0
725,1070000.0
726,879800.0
727,1232750.0
728,624600.0
729,639000.0
730,879800.0
731,543600.0
732,2930000.0
733,382500.0
734,636600.0
735,742333.3333333334
736,611500.0
737,2926500.0
738,409142.8571428572
739,538000.0
740,458100.0
741,351000.0
742,458100.0
743,
744,1070000.0
745,764714.2857142857
746,743400.0
747,472200.0
748,735000.0
749,263000.0
750,1773333.3333333333
751,601625.0
752,392666.6666666667
753,
754,492000.0
755,523000.0
756,795777.7777777778
757,530500.0
758,807600.0
759,269333.3333333333
760,1914000.0
761,471800.0
762,823000.0
763,420750.0
764,805000.0
765,970000.0
766,633666.6666666666
767,624500.0
768,210500.0
769,780600.0
770,1580000.0
771,1140000.0
772,800000.0
773,1015857.1428571428
774,1232750.0
775,758500.0
776,677500.0
777,743400.0
778,616000.0
779,524500.0
780,807600.0
781,3392000.0
782,442750.0
783,407000.0
784,448833.3333333333
785,230000.0
786,3751428.5714285714
787,
788,543888.8888888889
789,973000.0
790,499200.0
791,356000.0
792,
793,686000.0
794,458100.0
795,680833.3333333334
796,351000.0
797,1702000.0
798,1466222.2222222222
799,1014000.0
800,431333.3333333333
801,565285.7142857143
802,
803,327500.0
804,1544500.0
805,420000.0
806,702166.6666666666
807,357000.0
808,601625.0
809,377666.6666666667
810,855000.0
811,699500.0
812,1233333.3333333333
813,590833.3333333334
814,516571.4285714286
815,459800.0
816,782000.0
817,1285000.0
818,644000.0
819,540000.0
820,1557200.0
821,677500.0
822,327000.0
823,1119800.0
824,274000.0
825,1240000.0
826,742333.3333333334
827,780600.0
828,2440000.0
829,364666.6666666667
830,504666.6666666667
831,571333.3333333334
832,636600.0
833,
834,1557200.0
835,1119800.0
836,587500.0
837,1554000.0
838,748000.0
839,400000.0
840,844000.0
841,821285.7142857143
842,438000.0
843,679000.0
844,1830285.7142857143
845,
846,1338500.0
847,1251333.3333333333
848,263000.0
849,452000.0
850,1382666.6666666667
851,332000.0
852,420000.0
853,1086571.4285714286
854,
855,1232750.0
856,801000.0
857,3442222.222222222
858,680833.3333333334
859,1014000.0
860,1980000.0
861,1758000.0
862,2231666.6666666665
863,743400.0
864,776571.4285714285
865,450000.0
866,1070000.0
867,348666.6666666667
868,634000.0
869,693400.0
870,1580000.0
871,556000.0
872,3151500.0
873,963000.0
874,1114800.0
875,590833.3333333334
876,242000.0
877,536000.0
878,2070000.0
879,1119800.0
880,516571.4285714286
881,1400000.0
882,695000.0
883,602666.6666666666
884,1914000.0
885,555666.6666666666
886,1980000.0
887,536000.0
888,771250.0
889,538000.0
890,519000.0
891,795777.7777777778
892,
893,1260000.0
894,662833.3333333334
895,699500.0
896,475333.3333333333
897,771250.0
898,519000.0
899,1416000.0
900,680833.3333333334
901,653400.0
902,735600.0
903,644000.0
904,668400.0
905,407000.0
906,1291000.0
907,370000.0
908,927000.0
909,301250.0
910,463666.6666666667
911,437000.0
912,367166.6666666667
913,538000.0
914,2440000.0
915,6949142.857142857
916,16966666.666666668
917,812500.0
918,855000.0
919,527000.0
920,587500.0
921,439250.0
922,2240000.0
923,537000.0
924,506500.0
925,687000.0
926,514666.6666666667
927,4202000.0
928,
929,
930,1291000.0
931,2631111.111111111
932,709000.0
933,589500.0
934,1107777.7777777778
935,1554000.0
936,436800.0
937,446750.0
938,780000.0
939,1285000.0
940,436800.0
941,570200.0
942,671333.3333333334
943,536000.0
944,1790000.0
945,203000.0
946,626500.0
947,1518666.6666666667
948,577500.0
949,1830285.7142857143
950,8175000.0
951,489000.0
952,2631111.111111111
953,370500.0
954,610500.0
955,337333.3333333333
956,1513800.0
957,1466222.2222222222
958,285750.0
959,356333.3333333333
960,685666.6666666666
961,472200.0
962,595333.3333333334
963,565285.7142857143
964,450000.0
965,787500.0
966,367166.6666666667
967,543888.8888888889
968,1338500.0
969,542666.6666666666
970,1416000.0
971,875500.0
972,828000.0
973,573000.0
974,628333.3333333334
975,382500.0
976,1014000.0
977,1247500.0
978,497857.1428571429
979,1623200.0
980,1260000.0
981,398000.0
982,349500.0
983,821285.7142857143
984,611500.0
985,611500.0
986,
987,416875.0
988,986500.0
989,467000.0
990,2501250.0
991,346250.0
992,497500.0
993,226000.0
994,986500.0
995,320333.3333333333
996,423000.0
997,3066666.6666666665
998,471800.0
999,1232750.0
1000,921333.3333333334
1001,1086571.4285714286
1002,624500.0
1003,283000.0
1004,286000.0
1005,526800.0
1006,536000.0
1007,
1008,302000.0
1009,528400.0
1010,1493333.3333333333
1011,569000.0
1012,303000.0
1013,1119800.0
1014,273000.0
1015,543888.8888888889
1016,611500.0
1017,2070000.0
1018,1466222.2222222222
1019,453000.0
1020,1790000.0
1021,1260000.0
1022,680833.3333333334
1023,3751428.5714285714
1024,480600.0
1025,349500.0
1026,877875.0
1027,1086571.4285714286
1028,927000.0
1029,1840000.0
1030,1623200.0
1031,332000.0
1032,439250.0
1033,348666.6666666667
1034,1251333.3333333333
1035,472200.0
1036,304000.0
1037,2500000.0
1038,2295000.0
1039,341666.6666666667
1040,1843333.3333333333
1041,606500.0
1042,698875.0
1043,782500.0
1044,609000.0
1045,2198888.888888889
1046,527666.6666666666
1047,782000.0
1048,686571.4285714285
1049,1107777.7777777778
1050,1110500.0
1051,366000.0
1052,
1053,416875.0
1054,735600.0
1055,530500.0
1056,639000.0
1057,577500.0
1058,569000.0
1059,565285.7142857143
1060,1015857.1428571428
1061,589500.0
1062,6949142.857142857
1063,
1064,459250.0
1065,1173333.3333333333
1066,6949142.857142857
1067,735000.0
1068,805000.0
1069,1623200.0
1070,607333.3333333334
1071,686571.4285714285
1072,1107777.7777777778
1073,401250.0
1074,1006500.0
1075,1554000.0
1076,1331333.3333333333
1077,226000.0
1078,486000.0
1079,332000.0
1080,1503000.0
1081,795777.7777777778
1082,528400.0
1083,1382666.6666666667
1084,452000.0
1085,399000.0
1086,1513800.0
1087,2165000.0
1088,1014000.0
1089,1251333.3333333333
1090,472200.0
1091,879800.0
1092,1070000.0
1093,590833.3333333334
1094,574333.3333333334
1095,1980000.0
1096,327500.0
1097,1400000.0
1098,441000.0
1099,714400.0
1100,689666.6666666666
1101,1400000.0
1102,607333.3333333334
1103,2501250.0
1104,1914000.0
1105,893000.0
1106,393000.0
1107,860500.0
1108,570000.0
1109,304000.0
1110,583750.0
1111,275666.6666666667
1112,522500.0
1113,755714.2857142857
1114,302000.0
1115,893000.0
1116,3751428.5714285714
1117,
1118,1758000.0
1119,921333.3333333334
1120,2500000.0
1121,226000.0
1122,382500.0
1123,699500.0
1124,436800.0
1125,416800.0
1126,782500.0
1127,921333.3333333334
1128,
1129,618000.0
1130,519000.0
1131,274250.0
1132,482000.0
1133,409142.8571428572
1134,4055142.857142857
1135,
1136,799000.0
1137,1210500.0
1138,1558583.3333333333
1139,1840000.0
1140,4976000.0
1141,1107777.7777777778
1142,1431000.0
1143,705250.0
1144,855000.0
1145,446750.0
1146,
1147,
1148,337333.3333333333
1149,332000.0
1150,893000.0
1151,705250.0
1152,570200.0
1153,2231666.6666666665
1154,1014000.0
1155,364333.3333333333
1156,702166.6666666666
1157,349500.0
1158,689666.6666666666
1159,599000.0
1160,699500.0
1161,323600.0
1162,1503000.0
1163,332000.0
1164,743400.0
1165,1260000.0
1166,3442222.222222222
1167,714400.0
1168,4055142.857142857
1169,1843333.3333333333
1170,306500.0
1171,6949142.857142857
1172,933000.0
1173,3793750.0
1174,210500.0
1175,2070000.0
1176,475333.3333333333
1177,453600.0
1178,516666.6666666667
1179,601625.0
1180,755714.2857142857
1181,524500.0
1182,972500.0
1183,
1184,389400.0
1185,565285.7142857143
1186,399000.0
1187,557500.0
1188,490000.0
1189,1503000.0
1190,555750.0
1191,423000.0
1192,602666.6666666666
1193,795777.7777777778
1194,698666.6666666666
1195,1544500.0
1196,463666.6666666667
1197,496500.0
1198,674000.0
1199,973000.0
1200,384000.0
1201,382500.0
1202,699500.0
1203,
1204,3751428.5714285714
1205,825000.0
1206,405600.0
1207,398000.0
1208,901600.0
1209,677500.0
1210,921333.3333333334
1211,
1212,312000.0
1213,640000.0
1214,459250.0
1215,2500000.0
1216,2231666.6666666665
1217,540250.0
1218,965333.3333333334
1219,275666.6666666667
1220,743400.0
1221,713888.8888888889
1222,387000.0
1223,479500.0
1224,475333.3333333333
1225,782000.0
1226,430500.0
1227,1055000.0
1228,868000.0
1229,776571.4285714285
1230,3751428.5714285714
1231,506500.0
1232,311500.0
1233,309333.3333333333
1234,901600.0
1235,674000.0
1236,626500.0
1237,543888.8888888889
1238,800000.0
1239,1015857.1428571428
1240,
1241,710000.0
1242,364333.3333333333
1243,587500.0
1244,388200.0
1245,501666.6666666667
1246,1980000.0
1247,520000.0
1248,1580000.0
1249,274250.0
1250,3080000.0
1251,348000.0
1252,2500000.0
1253,273500.0
1254,1006500.0
1255,702000.0
1256,471800.0
1257,702000.0
1258,1291000.0
1259,4055142.857142857
1260,
1261,1790000.0
1262,1187250.0
1263,1086571.4285714286
1264,
1265,292250.0
1266,391000.0
1267,1030500.0
1268,687000.0
1269,467000.0
1270,702166.6666666666
1271,1840000.0
1272,288125.0
1273,
1274,1790000.0
1275,340500.0
1276,623333.3333333334
1277,459800.0
1278,1107777.7777777778
1279,823000.0
1280,3050000.0
1281,568000.0
1282,
1283,577500.0
1284,286000.0
1285,763000.0
1286,685666.6666666666
1287,
1288,
1289,348000.0
1290,1408000.0
1291,601625.0
1292,472200.0
1293,3685000.0
1294,
1295,771250.0
1296,1557200.0
1297,601000.0
1298,580500.0
1299,1342500.0
1300,605500.0
1301,1210500.0
1302,686571.4285714285
1303,543600.0
1304,1640000.0
1305,438000.0
1306,447600.0
1307,436800.0
1308,570200.0
1309,485500.0
1310,671000.0
1311,970000.0
1312,1431000.0
1313,1086571.4285714286
1314,6726000.0
1315,269333.3333333333
1316,867833.3333333334
1317,780000.0
1318,735600.0
1319,2200000.0
1320,1251333.3333333333
1321,
1322,499200.0
1323,1980000.0
1324,668400.0
1325,303000.0
1326,4202000.0
1327,787500.0
1328,680833.3333333334
1329,686000.0
1330,821285.7142857143
1331,
1332,524500.0
1333,4310000.0
1334,542666.6666666666
1335,393000.0
1336,540250.0
1337,790000.0
1338,605000.0
1339,536000.0
1340,540250.0
1341,332000.0
1342,485500.0
1343,357500.0
1344,1544500.0
1345,520000.0
1346,389400.0
1347,555750.0
1348,687000.0
1349,611500.0
1350,2070000.0
1351,524666.6666666666
1352,1580000.0
1353,855000.0
1354,637500.0
1355,805500.0
1356,1015857.1428571428
1357,1400000.0
1358,680000.0
1359,336800.0
1360,1518666.6666666667
1361,357000.0
1362,580500.0
1363,658500.0
1364,351000.0
1365,472200.0
1366,636600.0
1367,439250.0
1368,610500.0
1369,
1370,530500.0
1371,479500.0
1372,215333.3333333333
1373,570000.0
1374,223500.0
1375,798000.0
1376,810000.0
1377,556000.0
1378,992500.0
1379,6726000.0
1380,1086571.4285714286
1381,1980000.0
1382,1640000.0
1383,782000.0
1384,644500.0
1385,961000.0
1386,867833.3333333334
1387,1187250.0
1388,
1389,392666.6666666667
1390,787500.0
1391,366000.0
1392,583750.0
1393,855000.0
1394,504000.0
1395,296000.0
1396,587500.0
1397,693400.0
1398,601625.0
1399,698875.0
1400,780600.0
1401,622428.5714285715
1402,401250.0
1403,485500.0
1404,653400.0
1405,501666.6666666667
1406,605000.0
1407,565285.7142857143
1408,1557200.0
1409,274250.0
1410,1285000.0
1411,276500.0
1412,755714.2857142857
1413,1233333.3333333333
1414,607200.0
1415,605000.0
1416,626500.0
1417,382500.0
1418,986500.0
1419,1544500.0
1420,1382666.6666666667
1421,1790000.0
1422,416875.0
1423,660000.0
1424,3751428.5714285714
1425,409142.8571428572
1426,472200.0
1427,356333.3333333333
1428,576666.6666666666
1429,1554000.0
1430,685666.6666666666
1431,2295000.0
1432,320500.0
1433,1580000.0
1434,444000.0
1435,534600.0
1436,3751428.5714285714
1437,767000.0
1438,530500.0
1439,405000.0
1440,687000.0
1441,1200000.0
1442,735333.3333333334
1443,443500.0
1444,623333.3333333334
1445,976200.0
1446,743400.0
1447,
1448,543888.8888888889
1449,867833.3333333334
1450,274250.0
1451,1119800.0
1452,776571.4285714285
1453,2180000.0
1454,357000.0
1455,705250.0
1456,465000.0
1457,686571.4285714285
1458,965333.3333333334
1459,
1460,1070000.0
1461,991000.0
1462,781666.6666666666
1463,567500.0
1464,795777.7777777778
1465,364333.3333333333
1466,787500.0
1467,658500.0
1468,622428.5714285715
1469,324750.0
1470,895500.0
1471,633666.6666666666
1472,405000.0
1473,605000.0
1474,1187250.0
1475,
1476,1843333.3333333333
1477,1554000.0
1478,442000.0
1479,409000.0
1480,611500.0
1481,450000.0
1482,
1483,570200.0
1484,420000.0
1485,542666.6666666666
1486,370000.0
1487,805500.0
1488,497857.1428571429
1489,589500.0
1490,442857.1428571429
1491,1055000.0
1492,475333.3333333333
1493,3392000.0
1494,4202000.0
1495,3407500.0
1496,452000.0
1497,896333.3333333334
1498,420750.0
1499,2070000.0
1500,823000.0
1501,2213333.333333333
1502,761666.6666666666
1503,970000.0
1504,
1505,335000.0
1506,893000.0
1507,388200.0
1508,1382666.6666666667
1509,1408000.0
1510,527000.0
1511,
1512,515400.0
1513,611500.0
1514,862500.0
1515,933000.0
1516,611500.0
1517,476500.0
1518,1173333.3333333333
1519,601000.0
1520,921333.3333333334
1521,320333.3333333333
1522,685666.6666666666
1523,1466222.2222222222
1524,336800.0
1525,433500.0
1526,1702000.0
1527,4055142.857142857
1528,704500.0
1529,895500.0
1530,426500.0
1531,323600.0
1532,661500.0
1533,3392000.0
1534,392666.6666666667
1535,1050000.0
1536,685666.6666666666
1537,776571.4285714285
1538,215333.3333333333
1539,1830285.7142857143
1540,860500.0
1541,618000.0
1542,1125000.0
1543,1140000.0
1544,860500.0
1545,671333.3333333334
1546,628333.3333333334
1547,356333.3333333333
1548,
1549,1114800.0
1550,463666.6666666667
1551,482000.0
1552,420750.0
1553,515000.0
1554,1114800.0
1555,1291000.0
1556,780600.0
1557,452000.0
1558,382500.0
1559,3392000.0
1560,2070000.0
1561,764714.2857142857
1562,442857.1428571429
1563,1014000.0
1564,654000.0
1565,309333.3333333333
1566,485500.0
1567,991000.0
1568,435000.0
1569,452000.0
1570,486000.0
1571,1187250.0
1572,487333.3333333333
1573,1014000.0
1574,1544500.0
1575,
1576,1251333.3333333333
1577,357000.0
1578,269333.3333333333
1579,1558583.3333333333
1580,1580000.0
1581,363000.0
1582,487333.3333333333
1583,430500.0
1584,538500.0
1585,2500000.0
1586,414000.0
1587,805000.0
1588,12184000.0
1589,311500.0
1590,702166.6666666666
1591,1173333.3333333333
1592,636600.0
1593,
1594,12932000.0
1595,522500.0
1596,1114800.0
1597,662833.3333333334
1598,222000.0
1599,780600.0
1600,1416000.0
1601,879800.0
1602,580500.0
1603,709000.0
1604,398833.3333333333
1605,458100.0
1606,341666.6666666667
1607,862500.0
1608,805000.0
1609,492000.0
1610,687000.0
1611,409142.8571428572
1612,622428.5714285715
1613,1503000.0
1614,601625.0
1615,602666.6666666666
1616,698875.0
1617,1580000.0
1618,407000.0
1619,286000.0
1620,339200.0
1621,497857.1428571429
1622,327500.0
1623,1702000.0
1624,387000.0
1625,
1626,828000.0
1627,611500.0
1628,1544500.0
1629,431333.3333333333
1630,626500.0
1631,458100.0
1632,702166.6666666666
1633,587000.0
1634,735600.0
1635,781666.6666666666
1636,322400.0
1637,624500.0
1638,1431000.0
1639,446000.0
1640,3685000.0
1641,443500.0
1642,1086571.4285714286
1643,977400.0
1644,1331333.3333333333
1645,677500.0
1646,349500.0
1647,540250.0
1648,1338500.0
1649,1416000.0
1650,
1651,1119800.0
1652,624600.0
1653,516000.0
1654,519000.0
1655,1280000.0
1656,702166.6666666666
1657,327500.0
1658,
1659,624500.0
1660,702000.0
1661,
1662,443500.0
1663,407000.0
1664,782500.0
1665,351000.0
1666,226000.0
1667,524500.0
1668,855000.0
1669,1457166.6666666667
1670,242000.0
1671,1790000.0
1672,273000.0
1673,382500.0
1674,868000.0
1675,875500.0
1676,977400.0
1677,618000.0
1678,534600.0
1679,552000.0
1680,2180000.0
1681,489000.0
1682,631333.3333333334
1683,3151500.0
1684,406500.0
1685,1503000.0
1686,800000.0
1687,805000.0
1688,595333.3333333334
1689,527666.6666666666
1690,430000.0
1691,1251333.3333333333
1692,1544500.0
1693,1580000.0
1694,1338500.0
1695,1114800.0
1696,464000.0
1697,1503000.0
1698,1408000.0
1699,
1700,555750.0
