,賃料,築年数,面積,契約期間,定期借家,所在階,全体の階数,最寄り駅,所要時間,平均地価,所在地,部屋数,L,D,S
12832,540000,61.0,89.82,2.0,1,6.0,15.0,257,5.0,2995000.0,732,1,1,1,1
12863,526000,19.0,81.85,,3,12.0,13.0,448,1.0,23714705.88235294,575,3,1,1,0
13333,550000,347.0,94.77,2.0,2,4.0,5.0,76,3.0,1085500.0,652,2,1,1,0
13383,575000,364.0,133.3,,3,37.0,42.0,23,6.0,1232750.0,23,3,1,1,0
13498,950000,63.0,88.7,2.0,1,43.0,52.0,402,5.0,8175000.0,454,2,1,1,0
14617,570000,93.0,80.56,3.0,2,18.0,39.0,187,3.0,3793750.0,174,2,1,1,0
15417,1300000,61.0,125.0,2.0,2,7.0,7.0,235,7.0,2440000.0,304,2,1,1,0
15538,540000,147.0,109.17,2.0,1,19.0,22.0,332,4.0,2280000.0,737,1,1,1,0
16117,600000,139.0,113.0,5.0,2,42.0,44.0,153,5.0,6949142.857142857,47,3,1,1,0
16520,880000,196.0,94.09,3.0,2,17.0,43.0,187,5.0,3793750.0,174,2,1,1,0
16602,542000,138.0,105.83,2.0,1,22.0,25.0,172,7.0,973000.0,218,2,1,1,0
16613,650000,148.0,270.07,2.0,2,3.0,1.0,165,25.0,662833.3333333334,438,4,1,1,0
16847,1120000,271.0,221.3,3.0,2,11.0,13.0,76,6.0,1436666.6666666667,78,4,1,1,0
17324,1100000,84.0,171.43,5.0,2,3.0,4.0,89,5.0,2440000.0,304,4,1,1,0
17338,600000,65.0,124.0,4.0,2,3.0,,384,5.0,1240000.0,618,3,1,1,0
17399,850000,150.0,105.66,3.0,2,1.0,6.0,187,6.0,3751428.5714285714,369,1,1,1,1
17458,650000,150.0,115.83,2.0,1,3.0,14.0,257,2.0,2800000.0,343,2,1,1,1
17516,700000,50.0,89.49,5.0,2,3.0,,30,4.0,1233333.3333333333,29,3,1,1,0
17563,840000,108.0,133.11,,3,16.0,19.0,89,8.0,2070000.0,92,2,1,1,0
17658,650000,500.0,117.5,3.0,2,1.0,3.0,235,11.0,2440000.0,304,2,1,1,0
17945,670000,184.0,140.22,2.0,1,12.0,14.0,434,3.0,3195000.0,735,2,1,1,0
18249,880000,357.0,259.31,5.0,2,5.0,6.0,328,5.0,2198888.888888889,104,4,1,1,0
18664,648000,184.0,133.84,2.0,2,12.0,14.0,434,3.0,3195000.0,735,2,1,1,0
18764,700000,412.0,129.21,3.0,2,3.0,5.0,152,6.0,3751428.5714285714,369,3,1,1,0
18783,730000,20.0,85.3,,3,16.0,26.0,348,3.0,3442222.222222222,13,2,1,1,0
18956,540000,6.0,84.71,5.0,2,30.0,37.0,157,5.0,2930000.0,180,2,1,1,0
19422,700000,50.0,89.49,5.0,2,3.0,,30,4.0,1233333.3333333333,29,3,1,1,0
19756,580000,23.0,122.2,2.0,2,1.0,13.0,46,15.0,1377666.6666666667,188,2,1,1,0
20024,1100000,108.0,176.87,4.0,2,25.0,25.0,267,2.0,3751428.5714285714,369,3,1,1,0
20082,750000,63.0,169.58,5.0,2,2.0,,344,4.0,790000.0,516,3,1,1,1
20126,750000,63.0,121.12,2.0,1,3.0,4.0,89,12.0,1436666.6666666667,78,3,1,1,0
20224,700000,7.0,90.04,2.0,1,3.0,4.0,235,5.0,2213333.333333333,268,2,1,1,0
20241,920000,423.0,157.81,,3,2.0,7.0,235,6.0,2213333.333333333,268,3,1,1,0
20245,600000,61.0,105.45,5.0,2,4.0,15.0,257,5.0,2995000.0,732,2,1,1,1
20258,790000,17.0,85.34,2.0,1,17.0,26.0,348,3.0,3442222.222222222,13,2,1,1,0
20281,508000,0.0,88.49,,3,19.0,21.0,256,1.0,,590,3,1,1,1
20643,1800000,20.0,151.81,3.0,2,5.0,9.0,235,8.0,1790000.0,451,2,1,1,1
20989,1300000,177.0,167.99,3.0,2,1.0,8.0,89,8.0,2440000.0,304,3,1,1,0
21717,507000,0.0,88.49,2.0,1,18.0,21.0,256,1.0,,590,3,1,1,0
21819,600000,578.0,134.0,2.0,2,1.0,6.0,327,2.0,3066666.6666666665,466,2,1,1,0
21861,544000,300.0,112.52,2.0,2,15.0,16.0,402,5.0,4976000.0,483,2,1,1,0
22004,526000,19.0,81.85,2.0,1,12.0,12.0,448,1.0,23714705.88235294,575,3,1,1,0
22040,680000,203.0,106.23,2.0,1,37.0,47.0,157,6.0,6900000.0,596,3,1,1,0
23673,555000,158.0,111.54,2.0,1,6.0,8.0,327,6.0,1380000.0,850,3,1,1,0
23811,620000,139.0,126.05,,3,50.0,58.0,2,5.0,1580000.0,169,3,1,1,0
24008,600000,363.0,153.47,2.0,1,3.0,5.0,99,10.0,1790000.0,451,3,1,1,0
24173,628000,184.0,129.91,2.0,1,12.0,14.0,434,3.0,3195000.0,735,2,1,1,1
24205,544000,300.0,112.5,2.0,2,15.0,16.0,402,5.0,4976000.0,483,1,1,1,0
24259,550000,251.0,159.59,2.0,1,3.0,,166,8.0,1431000.0,109,4,1,1,0
24578,650000,155.0,113.44,3.0,2,37.0,41.0,317,6.0,8175000.0,454,2,1,1,0
24866,780000,24.0,112.3,2.0,1,9.0,16.0,19,5.0,3945000.0,592,3,1,1,0
25071,550000,220.0,182.41,2.0,1,2.0,,314,15.0,658500.0,96,3,1,1,1
25390,775000,17.0,85.34,2.0,1,12.0,26.0,348,3.0,3442222.222222222,13,2,1,1,0
25463,630000,24.0,99.52,5.0,2,4.0,7.0,89,11.0,3442222.222222222,13,3,1,1,0
25551,1120000,167.0,144.35,2.0,1,9.0,10.0,76,9.0,1436666.6666666667,78,1,1,1,1
25922,775000,17.0,85.34,2.0,1,12.0,26.0,348,3.0,3442222.222222222,13,2,1,1,0
25951,900000,175.0,231.52,2.0,1,1.0,3.0,267,6.0,3751428.5714285714,369,5,1,1,0
26531,780000,20.0,85.3,4.0,2,13.0,26.0,348,3.0,3442222.222222222,13,2,1,1,0
26867,550000,184.0,104.96,2.0,2,10.0,11.0,290,6.0,1645500.0,26,1,1,1,0
27569,900000,20.0,120.75,2.0,1,2.0,5.0,235,9.0,2440000.0,304,3,1,1,0
27602,980000,53.0,120.6,3.0,2,8.0,14.0,257,7.0,2995000.0,732,3,1,1,0
28026,790000,17.0,85.34,2.0,1,17.0,26.0,348,3.0,3442222.222222222,13,2,1,1,0
28247,558000,203.0,183.45,2.0,1,4.0,,345,6.0,992500.0,527,4,1,1,0
28481,730000,17.0,85.3,2.0,1,16.0,26.0,348,3.0,3442222.222222222,13,2,1,1,0
28522,630000,25.0,75.55,2.0,1,36.0,38.0,172,2.0,1840000.0,208,2,1,1,0
28524,535000,37.0,76.18,2.0,1,23.0,23.0,172,5.0,1840000.0,208,1,1,1,0
28593,600000,65.0,124.0,4.0,2,3.0,,384,5.0,1240000.0,618,3,1,1,0
28916,550000,415.0,112.96,5.0,2,10.0,14.0,89,5.0,1436666.6666666667,78,3,1,1,0
29032,700000,7.0,90.04,2.0,1,3.0,4.0,235,5.0,2213333.333333333,268,2,1,1,0
29094,598000,111.0,89.69,3.0,2,29.0,36.0,235,5.0,1790000.0,451,2,1,1,0
29460,505000,48.0,111.65,2.0,1,53.0,53.0,23,2.0,1408000.0,2,3,1,1,0
30539,1660000,271.0,341.3,3.0,2,12.0,13.0,76,6.0,1436666.6666666667,78,4,1,1,1
31115,598000,93.0,89.32,2.0,1,22.0,39.0,187,3.0,3793750.0,174,2,1,1,0
